Slice,Count,Total Area,Average Size,%Area,Mean
DH_SAM_sdETX4(f)_vgf02736(m)_M _Rep2_24_hn_03-1.tif,1,554662,554662,70.806,255
DH_SAM_sdETX4(f)_vg21-3(m)_M_Rep3_24_hn_03-1.tif,1,520254,520254,66.413,255
DH_SAM_sdETX4(f)_vg21-3(m)_M_Rep3_24_hn_02-1.tif,1,539303,539303,68.845,255
DH_SAM_sdETX4(f)_vgf02736(m)_M _Rep2_24_hn_02-1.tif,1,582013,582013,74.297,255
DH_SAM_sdETX4(f)_vg21-3(m)_M_Rep4_24_hn_02-1.tif,1,531874,531874,67.896,255
DH_SAM_sdETX4(f)_vg2a33(m)_M_Rep2_24_hn_06-1.tif,1,582358,582358,74.341,255
DH_SAM_sdETX4(f)_vgf02736(m)_F_Rep1_24_hn_03-1.tif,1,410803,410803,52.441,255
DH_SAM_sdETX4(f)_vg1(m)_M_Rep3_24_hn_01_07-1.tif,1,656651,656651,83.825,255
DH_SAM_sdETX4(f)_vg2a33(m)_M_Rep4_24_hn_01-1.tif,1,597789,597789,76.311,255
DH_SAM_sdETX4(f)_SAMw(m)_M _Rep1_24_hn_04-1.tif,1,564557,564557,72.069,255
DH_SAM_sdETX4(f)_vg2a33(m)_M_Rep3_24_hn_01-1.tif,1,572964,572964,73.142,255
DH_SAM_sdETX4(f)_vg1(m)_M_Rep1_24_hn_03-1.tif,1,625899,625899,79.899,255
DH_SAM_sdETX4(f)_vgf02736(m)_F _Rep2_24_hn_03-1.tif,1,388639,388639,49.612,255
DH_SAM_sdETX4(f)_vg1(m)_F_Rep4_24_hn_04-1.tif,1,330849,330849,42.235,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep1_24_hn_06-1.tif,2,383889,191944.500,49.005,255
DH_SAM_sdETX4(f)_vg1(m)_F_Rep3_24_hn_04-1.tif,2,321094,160547,40.989,255
DH_SAM_sdETX4(f)_vgf02736(m)_F _Rep4_24_hn_04-1.tif,1,423661,423661,54.083,255
DH_SAM_sdETX4(f)_vg1(m)_F_Rep2_24_hn_03-1.tif,1,366056,366056,46.729,255
DH_SAM_sdETX4(f)_vg1(m)_F_Rep2_24_hn_02-1.tif,2,343826,171913,43.891,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep3_24_hn_08-1.tif,1,411935,411935,52.586,255
DH_SAM_sdETX4(f)_SAMw(m)_F _Rep1_24_hn_04-1.tif,1,395671,395671,50.509,255
DH_SAM_sdETX4(f)_vg1(m)_F_Rep3_24_hn_05-1.tif,1,349541,349541,44.621,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep1_24_hn_07-1.tif,1,366308,366308,46.761,255
DH_SAM_sdETX4(f)_vg1(m)_F_Rep4_24_hn_05-1.tif,1,336515,336515,42.958,255
DH_SAM_sdETX4(f)_vgf02736(m)_F _Rep2_24_hn_02-1.tif,1,392022,392022,50.044,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep1_24_hn_05-1.tif,1,367410,367410,46.902,255
DH_SAM_sdETX4(f)_vg1(m)_F_Rep3_24_hn_07-1.tif,1,300966,300966,38.420,255
DH_SAM_sdETX4(f)_vg1(m)_F_Rep1_24_hn_08-1.tif,1,368788,368788,47.078,255
DH_SAM_sdETX4(f)_vg1(m)_F_Rep2_24_hn_01-1.tif,2,353303,176651.500,45.101,255
DH_SAM_sdETX4(f)_vg1(m)_F_Rep3_24_hn_06-1.tif,1,363480,363480,46.400,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep1_24_hn_04-1.tif,1,375157,375157,47.891,255
DH_SAM_sdETX4(f)_vgf02736(m)_F _Rep2_24_hn_01-1.tif,1,386227,386227,49.304,255
DH_SAM_sdETX4(f)_vg1(m)_M_Rep2_24_hn_01_03-1.tif,1,630630,630630,80.503,255
DH_SAM_sdETX4(f)_vgf02736(m)_F _Rep2_24_hn_05-1.tif,1,411014,411014,52.468,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep2_24_hn_08-1.tif,1,397598,397598,50.755,255
DH_SAM_sdETX4(f)_vg1(m)_F_Rep4_24_hn_02-1.tif,2,315745,157872.500,40.307,255
DH_SAM_sdETX4(f)_vg1(m)_F_Rep3_24_hn_02-1.tif,1,355191,355191,45.342,255
DH_SAM_sdETX4(f)_vg21-3(m)_F_Rep1_24_hn_03-1.tif,1,337924,337924,43.138,255
DH_SAM_sdETX4(f)_vgf02736(m)_F _Rep3_24_hn_02-1.tif,1,391705,391705,50.003,255
DH_SAM_sdETX4(f)_SAMw(m)_F _Rep1_24_hn_03-1.tif,1,373981,373981,47.741,255
DH_SAM_sdETX4(f)_vgf02736(m)_F _Rep4_24_hn_02-1.tif,1,421516,421516,53.809,255
DH_SAM_sdETX4(f)_vg1(m)_F_Rep2_24_hn_05-1.tif,2,366695,183347.500,46.811,255
DH_SAM_sdETX4(f)_vg1(m)_F_Rep2_24_hn_04-1.tif,1,345659,345659,44.125,255
DH_SAM_sdETX4(f)_vgf02736(m)_F _Rep4_24_hn_03-1.tif,1,425018,425018,54.256,255
DH_SAM_sdETX4(f)_SAMw(m)_F _Rep1_24_hn_02-1.tif,1,358027,358027,45.704,255
DH_SAM_sdETX4(f)_vgf02736(m)_F _Rep3_24_hn_03-1.tif,1,366278,366278,46.757,255
DH_SAM_sdETX4(f)_vg21-3(m)_F_Rep1_24_hn_02-1.tif,1,363923,363923,46.457,255
DH_SAM_sdETX4(f)_vg1(m)_F_Rep3_24_hn_03-1.tif,1,313108,313108,39.970,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep1_24_hn_01-1.tif,1,402792,402792,51.419,255
DH_SAM_sdETX4(f)_vg1(m)_F_Rep4_24_hn_03-1.tif,1,391617,391617,49.992,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep2_24_hn_09-1.tif,1,394913,394913,50.413,255
DH_SAM_sdETX4(f)_vgf02736(m)_F _Rep2_24_hn_04-1.tif,1,389327,389327,49.700,255
DH_SAM_sdETX4(f)_vg1(m)_M_Rep2_24_hn_01_02-1.tif,1,546933,546933,69.819,255
DH_SAM_sdETX4(f)_vg1(m)_F_Rep4_24_hn_01-1.tif,1,339650,339650,43.358,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep1_24_hn_03-1.tif,1,395967,395967,50.547,255
DH_SAM_sdETX4(f)_vg1(m)_F_Rep3_24_hn_01-1.tif,2,329705,164852.500,42.089,255
DH_SAM_sdETX4(f)_vgf02736(m)_F _Rep3_24_hn_01-1.tif,1,397922,397922,50.797,255
DH_SAM_sdETX4(f)_vgf02736(m)_F _Rep4_24_hn_01-1.tif,1,412129,412129,52.610,255
DH_SAM_sdETX4(f)_vg1(m)_F_Rep2_24_hn_06-1.tif,1,333995,333995,42.636,255
DH_SAM_sdETX4(f)_SAMw(m)_F _Rep1_24_hn_01-1.tif,2,340769,170384.500,43.501,255
DH_SAM_sdETX4(f)_vg21-3(m)_F_Rep1_24_hn_01-1.tif,1,389703,389703,49.748,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep1_24_hn_02-1.tif,1,362359,362359,46.257,255
DH_SAM_sdETX4(f)_vg1(m)_M_Rep2_24_hn_01_01-1.tif,1,560723,560723,71.579,255
DH_SAM_sdETX4(f)_vgf02736(m)_M_Rep1_24_hn_02-1.tif,1,563272,563272,71.905,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep2_24_hn_07-1.tif,1,423266,423266,54.032,255
DH_SAM_sdETX4(f)_vg21-3(m)_F_Rep4_24_hn_03-1.tif,1,372070,372070,47.497,255
DH_SAM_sdETX4(f)_vg21-3(m)_F_Rep3_24_hn_03-1.tif,1,338618,338618,43.226,255
DH_SAM_sdETX4(f)_SAMw(m)_F _Rep3_24_hn_03-1.tif,1,389937,389937,49.777,255
DH_SAM_sdETX4(f)_vg1(m)_F_Rep1_24_hn_02-1.tif,1,354373,354373,45.238,255
DH_SAM_sdETX4(f)_vg21-3(m)_F_Rep2_24_hn_04-1.tif,1,325112,325112,41.502,255
DH_SAM_sdETX4(f)_SAMw(m)_F _Rep2_24_hn_04-1.tif,1,404917,404917,51.690,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep4_24_hn_01-1.tif,1,374532,374532,47.811,255
DH_SAM_sdETX4(f)_vg21-3(m)_F_Rep2_24_hn_05-1.tif,1,361303,361303,46.122,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep3_24_hn_01-1.tif,1,391015,391015,49.915,255
DH_SAM_sdETX4(f)_vg1(m)_F_Rep1_24_hn_03-1.tif,1,396758,396758,50.648,255
DH_SAM_sdETX4(f)_SAMw(m)_F _Rep3_24_hn_02-1.tif,1,359084,359084,45.839,255
DH_SAM_sdETX4(f)_vg21-3(m)_F_Rep3_24_hn_02-1.tif,1,360838,360838,46.063,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep2_24_hn_06-1.tif,1,360400,360400,46.007,255
DH_SAM_sdETX4(f)_vg21-3(m)_F_Rep4_24_hn_02-1.tif,1,349482,349482,44.613,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep2_24_hn_12-1.tif,1,357934,357934,45.692,255
DH_SAM_sdETX4(f)_vgf02736(m)_M_Rep1_24_hn_01-1.tif,1,573596,573596,73.223,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep2_24_hn_04-1.tif,1,388062,388062,49.538,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep2_24_hn_10-1.tif,1,368794,368794,47.078,255
DH_SAM_sdETX4(f)_vg1(m)_F_Rep1_24_hn_01-1.tif,1,358264,358264,45.734,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep3_24_hn_03-1.tif,1,507358,507358,64.767,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep4_24_hn_03-1.tif,1,477496,477496,60.955,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep4_24_hn_02-1.tif,1,395094,395094,50.436,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep3_24_hn_02-1.tif,1,385650,385650,49.230,255
DH_SAM_sdETX4(f)_SAMw(m)_F _Rep3_24_hn_01-1.tif,2,319025,159512.500,40.725,255
DH_SAM_sdETX4(f)_vg21-3(m)_F_Rep3_24_hn_01-1.tif,1,355647,355647,45.400,255
DH_SAM_sdETX4(f)_SAMw(m)_F _Rep4_24_hn_01-1.tif,1,351573,351573,44.880,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep2_24_hn_11-1.tif,1,399191,399191,50.959,255
DH_SAM_sdETX4(f)_vg21-3(m)_F_Rep4_24_hn_01-1.tif,1,344674,344674,43.999,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep2_24_hn_05-1.tif,1,382701,382701,48.854,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep2_24_hn_01-1.tif,1,389817,389817,49.762,255
DH_SAM_sdETX4(f)_vg21-3(m)_F_Rep4_24_hn_05-1.tif,1,397514,397514,50.745,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep1_24_hn_09-1.tif,1,413347,413347,52.766,255
DH_SAM_sdETX4(f)_vg21-3(m)_F_Rep3_24_hn_05-1.tif,1,334457,334457,42.695,255
DH_SAM_sdETX4(f)_vg1(m)_F_Rep1_24_hn_04-1.tif,1,362644,362644,46.293,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep3_24_hn_06-1.tif,1,459187,459187,58.618,255
DH_SAM_sdETX4(f)_SAMw(m)_F _Rep2_24_hn_02-1.tif,2,361838,180919,46.191,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep4_24_hn_06-1.tif,1,402796,402796,51.419,255
DH_SAM_sdETX4(f)_vg21-3(m)_F_Rep2_24_hn_02-1.tif,1,333781,333781,42.609,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep4_24_hn_07-1.tif,1,348354,348354,44.469,255
DH_SAM_sdETX4(f)_vg21-3(m)_F_Rep2_24_hn_03-1.tif,1,368071,368071,46.986,255
DH_SAM_sdETX4(f)_SAMw(m)_F _Rep2_24_hn_03-1.tif,1,368191,368191,47.002,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep3_24_hn_07-1.tif,1,397663,397663,50.764,255
DH_SAM_sdETX4(f)_vg1(m)_F_Rep1_24_hn_05-1.tif,1,346601,346601,44.245,255
