Slice,Count,Total Area,Average Size,%Area,Mean
DH_SAM_sd1(f)_vgf02736(m)_F_Rep1_24_hn_02-1.tif,1,377658,377658.000,48.210,255
DH_SAM_sd1(f)_vg1(m)_M_Rep3_24_hn_02-1.tif,1,464515,464515.000,59.298,255
DH_SAM_sd1(f)_SAMw(m)_F_Rep1_24_hn_08-1.tif,2,334214,167107.000,42.664,255
DH_SAM_sd1(f)_SAMw(m)_F_Rep1_24_hn_09-1.tif,1,364487,364487.000,46.529,255
DH_SAM_sd1(f)_vg1(m)_M_Rep3_24_hn_03-1.tif,1,483975,483975.000,61.782,255
DH_SAM_sd1(f)_vgf02736(m)_F_Rep1_24_hn_03-1.tif,1,366508,366508.000,46.787,255
DH_SAM_sd1(f)_vg21-3(m)_M_Rep4_24_hn_01-1.tif,1,464481,464481.000,59.293,255
DH_SAM_sd1(f)_vg1(m)_M_Rep4_24_hn_03-1.tif,1,477763,477763.000,60.989,255
DH_SAM_sd1(f)_vg2a33(m)_M_Rep2_24_hn_05-1.tif,1,425994,425994.000,54.380,255
DH_SAM_sd1(f)_SAMw(m)_F_Rep4_24_hn_06-1.tif,1,350195,350195.000,44.704,255
DH_SAM_sd1(f)_vg1(m)_M_Rep2_24_hn_04-1.tif,1,485854,485854.000,62.022,255
DH_SAM_sd1(f)_vg2a33(m)_M_Rep4_24_hn_02-1.tif,1,494769,494769.000,63.160,255
DH_SAM_sd1(f)_SAMw(m)_F_Rep3_24_hn_06-1.tif,1,349028,349028.000,44.555,255
DH_SAM_sd1(f)_vg2a33(m)_M_Rep3_24_hn_02-1.tif,1,424593,424593.000,54.202,255
DH_SAM_sd1(f)_vgf02736(m)_M_Rep2_24_hn_03-1.tif,1,464679,464679.000,59.319,255
DH_SAM_sd1(f)_vg2a33(m)_F_Rep1_24_hn_11-1.tif,1,369519,369519.000,47.171,255
DH_SAM_sd1(f)_SAMw(m)_M_Rep1_24_hn_01-1.tif,1,440309,440309.000,56.208,255
DH_SAM_sd1(f)_vg2a33(m)_F_Rep1_24_hn_05-1.tif,1,363971,363971.000,46.463,255
DH_SAM_sd1(f)_vgf02736(m)_M_Rep4_24_hn_04-1.tif,1,522441,522441.000,66.692,255
DH_SAM_sd1(f)_vgf02736(m)_M_Rep3_24_hn_04-1.tif,1,467947,467947.000,59.736,255
DH_SAM_sd1(f)_vg2a33(m)_F_Rep1_24_hn_04-1.tif,0,0,NaN,0.000,NaN
DH_SAM_sd1(f)_vg2a33(m)_F_Rep1_24_hn_10-1.tif,0,0,NaN,0.000,NaN
DH_SAM_sd1(f)_vgf02736(m)_M_Rep2_24_hn_02-1.tif,1,456107,456107.000,58.224,255
DH_SAM_sd1(f)_vg2a33(m)_F_Rep1_24_hn_06-1.tif,0,0,NaN,0.000,NaN
DH_SAM_sd1(f)_vg2a33(m)_F_Rep1_24_hn_12-1.tif,1,336389,336389.000,42.942,255
DH_SAM_sd1(f)_SAMw(m)_M_Rep1_24_hn_02-1.tif,1,481459,481459.000,61.461,255
DH_SAM_sd1(f)_SAMw(m)_M_Rep1_24_hn_03-1.tif,1,463010,463010.000,59.106,255
DH_SAM_sd1(f)_vg2a33(m)_F_Rep1_24_hn_13-1.tif,1,364322,364322.000,46.508,255
DH_SAM_sd1(f)_vg2a33(m)_F_Rep1_24_hn_07-1.tif,0,0,NaN,0.000,NaN
DH_SAM_sd1(f)_vgf02736(m)_M_Rep2_24_hn_01-1.tif,1,501861,501861.000,64.065,255
DH_SAM_sd1(f)_vg2a33(m)_F_Rep1_24_hn_03-1.tif,0,0,NaN,0.000,NaN
DH_SAM_sd1(f)_SAMw(m)_M_Rep1_24_hn_07-1.tif,1,455697,455697.000,58.172,255
DH_SAM_sd1(f)_vgf02736(m)_M_Rep4_24_hn_02-1.tif,1,487620,487620.000,62.247,255
DH_SAM_sd1(f)_vgf02736(m)_M_Rep3_24_hn_02-1.tif,1,451008,451008.000,57.574,255
DH_SAM_sd1(f)_vgf02736(m)_M_Rep3_24_hn_03-1.tif,1,554310,554310.000,70.761,255
DH_SAM_sd1(f)_vg21-3(m)_F_Rep1_24_hn_01-1.tif,0,0,NaN,0.000,NaN
DH_SAM_sd1(f)_vgf02736(m)_M_Rep4_24_hn_03-1.tif,1,463701,463701.000,59.194,255
DH_SAM_sd1(f)_SAMw(m)_M_Rep1_24_hn_06-1.tif,1,450949,450949.000,57.566,255
DH_SAM_sd1(f)_vg2a33(m)_F_Rep1_24_hn_02-1.tif,1,382928,382928.000,48.883,255
DH_SAM_sd1(f)_vgf02736(m)_M_Rep2_24_hn_04-1.tif,1,484314,484314.000,61.825,255
DH_SAM_sd1(f)_SAMw(m)_M_Rep1_24_hn_04-1.tif,1,464153,464153.000,59.252,255
DH_SAM_sd1(f)_vgf02736(m)_M_Rep4_24_hn_01-1.tif,1,509445,509445.000,65.033,255
DH_SAM_sd1(f)_vg21-3(m)_F_Rep1_24_hn_03-1.tif,1,349709,349709.000,44.642,255
DH_SAM_sd1(f)_vg1(m)_F_Rep2_24_hn_09-1.tif,1,376287,376287.000,48.035,255
DH_SAM_sd1(f)_vgf02736(m)_M_Rep3_24_hn_01-1.tif,1,526845,526845.000,67.255,255
DH_SAM_sd1(f)_vg1(m)_F_Rep2_24_hn_08-1.tif,1,406916,406916.000,51.945,255
DH_SAM_sd1(f)_vg21-3(m)_F_Rep1_24_hn_02-1.tif,2,337682,168841.000,43.107,255
DH_SAM_sd1(f)_vg2a33(m)_F_Rep1_24_hn_01-1.tif,1,370786,370786.000,47.333,255
DH_SAM_sd1(f)_SAMw(m)_M_Rep1_24_hn_05-1.tif,1,465612,465612.000,59.438,255
DH_SAM_sd1(f)_vg2a33(m)_F_Rep2_24_hn_04-1.tif,1,330758,330758.000,42.223,255
DH_SAM_sd1(f)_vg1(m)_F_Rep4_24_hn_02-1.tif,1,355738,355738.000,45.412,255
DH_SAM_sd1(f)_vg1(m)_F_Rep3_24_hn_02-1.tif,1,365590,365590.000,46.669,255
DH_SAM_sd1(f)_vg2a33(m)_F_Rep3_24_hn_03-1.tif,0,0,NaN,0.000,NaN
DH_SAM_sd1(f)_vg1(m)_F_Rep2_24_hn_05-1.tif,1,367750,367750.000,46.945,255
DH_SAM_sd1(f)_vg2a33(m)_F_Rep4_24_hn_1-1.tif,1,350596,350596.000,44.755,255
DH_SAM_sd1(f)_vg1(m)_F_Rep2_24_hn_10-1.tif,1,372846,372846.000,47.596,255
DH_SAM_sd1(f)_vg1(m)_F_Rep2_24_hn_04-1.tif,1,335310,335310.000,42.804,255
DH_SAM_sd1(f)_vg2a33(m)_F_Rep3_24_hn_02-1.tif,1,356536,356536.000,45.514,255
DH_SAM_sd1(f)_vg21-3(m)_F_Rep3_24_hn_01-1.tif,1,314063,314063.000,40.092,255
DH_SAM_sd1(f)_vg1(m)_F_Rep3_24_hn_03-1.tif,1,373238,373238.000,47.646,255
DH_SAM_sd1(f)_vg1(m)_F_Rep4_24_hn_03-1.tif,1,342490,342490.000,43.721,255
DH_SAM_sd1(f)_vg21-3(m)_F_Rep4_24_hn_01-1.tif,2,314180,157090.000,40.107,255
DH_SAM_sd1(f)_SAMw(m)_M_Rep2_24_hn_01-1.tif,1,468429,468429.000,59.797,255
DH_SAM_sd1(f)_vg1(m)_F_Rep4_24_hn_01-1.tif,1,327640,327640.000,41.825,255
DH_SAM_sd1(f)_SAMw(m)_M_Rep2_24_hn_03-1.tif,1,486368,486368.000,62.087,255
DH_SAM_sd1(f)_vg1(m)_F_Rep3_24_hn_01-1.tif,1,354274,354274.000,45.225,255
DH_SAM_sd1(f)_vg21-3(m)_F_Rep3_24_hn_03-1.tif,1,310380,310380.000,39.622,255
DH_SAM_sd1(f)_SAMw(m)_M_Rep3_24_hn_04-1.tif,1,472495,472495.000,60.316,255
DH_SAM_sd1(f)_SAMw(m)_M_Rep4_24_hn_04-1.tif,1,461427,461427.000,58.904,255
DH_SAM_sd1(f)_vg21-3(m)_F_Rep2_24_hn_04-1.tif,1,299068,299068.000,38.178,255
