Slice,Count,Total Area,Average Size,%Area,Mean
DH_ORE_sd1(f)_vg2a33(m)_M_Rep4_24_hn_3-1.tif,1,503287,503287.000,64.247,255
DH_ORE_sd1(f)_OREw(m)_F _Rep4_24_hn_05-1.tif,1,343128,343128.000,43.802,255
DH_ORE_sd1(f)_OREw(m)_F _Rep2_24_hn_02-1.tif,1,317864,317864.000,40.577,255
DH_ORE_sd1(f)_vg2a33(m)_M_Rep2_24_hn_6-1.tif,1,455241,455241.000,58.114,255
DH_ORE_sd1(f)_vg1(m)_F _Rep3_24_hn__02-1.tif,2,298828,149414.000,38.147,255
DH_ORE_sd1(f)_OREw(m)_M _Rep2_24_hn_02-1.tif,1,484962,484962.000,61.908,255
DH_ORE_sd1(f)_vg2a33(m)_F_Rep4_24_hn_2X_1-1.tif,1,665379,665379.000,84.939,255
DH_ORE_sd1(f)_vg2a33(m)_M_Rep2_24_hn_5-1.tif,1,477084,477084.000,60.902,255
DH_ORE_sd1(f)_vg1(m)_F _Rep3_24_hn__01-1.tif,2,292569,146284.500,37.348,255
DH_ORE_sd1(f)_OREw(m)_M _Rep2_24_hn_01-1.tif,1,458451,458451.000,58.524,255
DH_ORE_sd1(f)_vg2a33(m)_M_Rep2_24_hn_4-1.tif,0,0,NaN,0.000,NaN
DH_ORE_sd1(f)_OREw(m)_M _Rep4_24_hn_02-1.tif,1,447866,447866.000,57.172,255
DH_ORE_sd1(f)_vgf02736(m)_F_Rep3_24_hn_3-1.tif,1,302940,302940.000,38.672,255
DH_ORE_sd1(f)_OREw(m)_M _Rep4_24_hn_03-1.tif,1,441322,441322.000,56.337,255
DH_ORE_sd1(f)_vg2a33(m)_M_Rep2_24_hn_1-1.tif,1,22888,22888.000,79.230,255
DH_ORE_sd1(f)_vg2a33(m)_M_Rep2_24_hn_3-1.tif,1,441926,441926.000,56.414,255
DH_ORE_sd1(f)_OREw(m)_M _Rep3_24_hn_01-1.tif,1,495007,495007.000,63.190,255
DH_ORE_sd1(f)_OREw(m)_M _Rep4_24_hn_01-1.tif,1,453907,453907.000,57.944,255
DH_ORE_sd1(f)_vg2a33(m)_F_Rep2_24_hn_1-1.tif,2,303433,151716.500,38.735,255
DH_ORE_sd1(f)_vg2a33(m)_M_Rep2_24_hn_2-1.tif,1,195067,195067.000,56.584,255
